SystemId,metervalue,meterDate,solarlog s.no,last transfer date,Device type,may -2021 data,jun- 2021 data,jun - may diff,july- jun diff,capacity,specific yield,Reporting status
24769,79931,2021-07-29T06:02:22,154943594,01/07/2021 10:10,Meter,77275,78898,1623,1033,10.836,3.404656436,TRUE
34280,27788,2021-07-29T06:02:22,1228686035,01/07/2021 10:10,Meter,26840,27420,580,368,4.788,2.744957632,TRUE
24806,60905,2021-07-29T06:02:23,1497120225,01/07/2021 10:10,Meter,59188,60218,1030,687,6.683,3.671362305,TRUE
40523,61013,2021-07-29T06:02:30,423385194,01/07/2021 10:10,Meter,58979,60211,1232,802,7.538,3.799795323,TRUE
40519,32663,2021-07-29T06:02:31,691800612,01/07/2021 10:10,Meter,31630,32254,624,409,4.032,3.622803288,TRUE
40461,34437,2021-07-29T06:02:31,1765553180,01/07/2021 10:10,Meter,33211,33955,744,482,4.536,3.795036533,TRUE
40416,34313,2021-07-29T06:02:31,1765562319,01/07/2021 10:10,Meter,33040,33815,775,498,6.3,2.823129252,TRUE
26472,85897,2021-07-29T06:02:32,154938654,01/07/2021 10:10,Meter,83210,84858,1648,1039,12.636,2.936620992,TRUE
38458,94620,2021-07-29T06:02:32,1497406992,01/07/2021 10:10,Meter,91044,93197,2153,1423,13.041,3.897049963,TRUE
15481,49491,2021-07-29T06:02:32,691808022,01/07/2021 10:10,Meter,47689,48753,1064,738,6.831,3.85846038,TRUE
39524,62604,2021-07-29T06:02:33,423374573,01/07/2021 10:10,Meter,60315,61688,1373,916,8.535,3.832956733,TRUE
27471,66366,2021-07-29T06:02:33,960254315,01/07/2021 10:10,Meter,64246,65509,1263,857,7.56,4.04856387,TRUE
36367,72468,2021-07-29T06:02:34,154946805,01/07/2021 10:10,Meter,70153,71557,1404,911,8.694,3.742318183,TRUE
36366,26461,2021-07-29T06:02:34,423382724,01/07/2021 10:10,Meter,25537,26093,556,368,3.78,3.476946334,TRUE
39155,74189,2021-07-29T06:02:34,154941618,01/07/2021 10:10,Meter,72059,73322,1263,867,8.82,3.51068999,TRUE
38455,42031,2021-07-29T06:02:34,423370621,01/07/2021 10:10,Meter,40461,41419,958,612,6.048,3.613945578,TRUE
57399,26992,2021-07-29T06:02:35,2033989840,01/07/2021 10:10,Meter,25823,26527,704,465,4.536,3.661186697,TRUE
38482,18592,2021-07-29T06:02:35,1228676896,01/07/2021 10:10,Meter,18087,18390,303,202,2.52,2.862811791,TRUE
39012,7843,2021-07-29T06:02:35,960242459,01/07/2021 10:10,Meter,7612,7749,137,94,0.99,3.391053391,TRUE
73937,25316,2021-07-29T06:02:37,1228677884,01/07/2021 10:10,Meter,24260,24924,664,392,4.536,3.086419753,TRUE
39095,74606,2021-07-29T06:02:37,154934208,01/07/2021 10:11,Meter,72137,73623,1486,983,11.0295,3.183022155,TRUE
39094,20291,2021-07-29T06:02:37,1497117755,01/07/2021 10:11,Meter,19511,19982,471,309,3.465,3.184910328,TRUE
39093,16894,2021-07-29T06:02:37,1228676649,01/07/2021 10:11,Meter,16264,16654,390,240,2.475,3.463203463,TRUE
39295,36733,2021-07-29T06:02:38,423370374,01/07/2021 10:11,Meter,35669,36307,638,426,4.347,3.499950705,TRUE
38586,101017,2021-07-29T06:02:40,154935443,01/07/2021 10:11,Meter,97591,99607,2016,1410,12.96,3.885582011,TRUE
39890,52309,2021-07-29T06:02:40,960245176,01/07/2021 10:11,Meter,50444,51585,1141,724,7.1415,3.620687931,TRUE
25910,56931,2021-07-29T06:02:50,423372844,01/07/2021 10:11,Meter,55187,56245,1058,686,6.552,3.739316239,TRUE
39066,29308,2021-07-29T06:02:50,1228690975,01/07/2021 10:11,Meter,28271,28918,647,390,4.617,3.016801262,TRUE
39911,14238,2021-07-29T06:02:50,2033997250,01/07/2021 10:11,Meter,13837,14074,237,164,2.475,2.366522367,TRUE
